BLUE,GREEN,RED,NIR,SWIR,Landcover
1283.0,1466.0,1464.6666,1686.2,1798.3334,road
1487.0,1610.6666,1635.3334,1763.0,1900.0,road
1559.0,1693.5,1732.5,1837.0,1900.0,road
1399.3334,1564.6666,1547.3334,1658.6666,1886.5,road
1276.6666,1370.0,1370.0,1444.6666,1885.3334,road
1144.4,1203.3334,1202.0,1255.0,1642.1428,road
1050.0,1059.3334,1094.0,1172.0,1642.1428,road
1115.5,1178.5,1190.0,1576.0,1781.8,road
1256.0,1337.0,1289.6,1541.3334,1781.8,road
1316.0,1413.5,1422.3334,1619.0,1790.0,road
1389.0,1505.4,1570.5,1725.0,1804.0,road
1356.0,1484.6666,1546.5,1672.0,1687.4,road
1302.1904,1400.0,1403.0,1545.3334,1687.4,road
1192.0,1260.1666,1287.0,1356.5,1480.0,road
1054.6666,1087.0,1084.3334,1249.5,1480.0,road
944.75,1016.0,1008.5,1202.6666,1509.125,road
1146.0,1203.0,1227.0,1353.6666,1724.2,road
1175.5,1286.3334,1289.2,1428.0,1724.2,road
1324.0,1414.0,1413.3334,1600.0,1781.8,road
1446.0,1610.0,1616.0,1738.0,1781.8,road
1325.0,1448.0,1508.6666,1624.0,1790.0,road
1191.3334,1300.0,1337.0,1473.0,1804.0,road
1177.0,1224.6666,1268.0,1385.0,1687.4,road
1079.6,1149.25,1152.0,1238.3334,1687.4,road
922.2,1003.0,963.0,1232.0,1480.0,road
1115.3334,1179.0,1236.0,1428.0,1750.0,road
1208.6666,1318.4,1333.0,1462.0,1813.4,road
1392.5,1509.0,1556.6666,1655.0,1825.2,road
1480.0,1660.0,1720.0,1767.0,1779.0,road
1394.8572,1467.0,1510.0,1605.0,1779.0,road
1207.2,1281.3334,1309.5,1446.0,1541.75,road
1048.5,1123.0,1153.5,1238.6666,1541.75,road
1030.5,1086.0,1090.0,1172.0,1427.3334,road
938.6667,972.0,1001.0,1160.0,1445.0,road
1111.2,1215.6,1233.5,1388.0,1802.3334,road
1192.0,1263.5,1246.1428,1440.3334,1742.5,road
1278.5,1394.25,1433.0,1600.5,1742.5,road
1454.0,1596.0,1656.0,1751.0,1813.4,road
1467.0,1651.3334,1680.0,1818.0,1837.0,road
1288.8,1369.0,1394.0,1508.0,1779.0,road
1172.5,1244.0,1285.3334,1381.3334,1779.0,road
1078.5,1124.0,1139.0,1225.0,1541.75,road
920.1667,1001.0,971.0,1148.0,1541.75,road
1157.2,1254.0,1262.0,1508.6666,1731.0,road
1174.6666,1271.5,1266.0,1400.0,1764.5,road
1204.0,1288.5,1323.0,1447.0,1764.5,road
1370.3334,1496.0,1551.0,1706.0,1811.5,road
1476.5,1643.0,1668.0,1820.0,1811.5,road
1417.0,1578.0,1625.0,1733.0,1665.0,road
1252.0,1335.0,1379.0,1494.0,1665.0,road
1144.0,1183.6666,1196.0,1272.6666,1447.2,road
1030.0,1076.5,1084.0,1178.0,1447.2,road
1144.4,1173.5,1194.0,1456.0,1749.0,road
1248.0,1320.0,1319.6,1540.0,1749.0,road
1319.0,1412.0,1496.0,1657.0,1764.5,road
1394.6666,1543.0,1609.0,1770.0,1764.5,road
1482.0,1654.0,1684.0,1801.0,1811.5,road
1356.0,1464.4,1478.0,1617.5,1811.5,road
1184.5,1258.0,1284.3334,1395.0,1676.0,road
1064.6666,1128.4,1182.0,1251.5,1665.0,road
975.23334,1017.0,987.6667,1166.0,1447.2,road
1210.6666,1304.0,1283.0,1502.0,1736.25,road
1206.6666,1245.0,1286.5,1430.0,1728.125,road
1298.0,1393.0,1383.0,1562.6666,1825.3334,road
1374.5,1489.0,1559.0,1704.6666,1825.3334,road
1523.0,1682.6666,1754.6666,1895.75,1833.75,road
1470.0,1614.0,1653.5,1751.0,1825.375,road
1241.5,1347.5,1410.0,1498.0,1584.25,road
1134.6666,1208.0,1199.0,1333.0,1584.25,road
1065.0,1080.5,1101.0,1237.2,1433.0,road
1185.3334,1267.3334,1299.0,1438.8334,1828.8334,road
1276.0,1324.0,1351.0,1510.0,1736.25,road
1371.0,1510.0,1539.75,1657.0,1728.125,road
1522.6666,1682.0,1719.3334,1857.0,1839.0,road
1584.0,1706.0,1750.0,1880.0,1839.0,road
1516.0,1580.5,1636.0,1733.0,1833.75,road
1251.3334,1328.0,1349.0,1450.6666,1833.75,road
1055.0,1135.5,1160.0,1265.0,1584.25,road
1014.0,1019.5,1001.5,1209.5,1592.5,road
1222.0,1288.0,1340.0,1458.6666,1802.0,road
1207.5,1310.0,1335.0,1415.5,1799.5,road
1258.0,1335.2,1400.4,1496.0,1799.5,road
1410.0,1548.0,1586.0,1736.0,1925.0,road
1509.0,1719.3334,1783.0,1959.6,1925.0,road
1551.0,1672.0,1788.6666,1846.0,1769.25,road
1346.6666,1482.0,1493.5,1590.0,1769.25,road
1176.6666,1270.0,1289.2,1431.3334,1496.0,road
1099.0,1141.0,1118.0,1243.3334,1496.0,road
1224.6666,1316.4,1348.0,1395.3334,1802.0,road
1224.6666,1316.4,1348.0,1395.3334,1802.0,road
1242.0,1286.0,1343.75,1490.0,1802.0,road
1292.0,1464.0,1509.0,1645.5,1806.25,road
1443.0,1650.8,1783.0,1835.0,1806.25,road
1538.0,1766.0,1847.0,2024.0,1925.0,road
1468.0,1639.6,1752.0,1848.6666,1925.0,road
1259.3334,1349.0,1417.0,1506.0,1769.25,road
1142.5,1193.3334,1209.3334,1320.4,1769.25,road
1223.5,1270.6666,1336.4,1398.6666,1766.0,road
1223.5,1270.6666,1336.4,1398.6666,1766.0,road
1308.0,1418.0,1447.0,1546.0,1894.3334,road
1382.6666,1536.0,1595.0,1703.0,1894.3334,road
1481.0,1678.0,1748.6666,1886.0,1960.5,road
1524.0,1762.0,1900.5,2014.0,1960.5,road
1465.5,1650.5,1784.8,1828.6666,1701.5,road
1252.6666,1364.6666,1398.4,1509.5,1701.5,road
1067.0,1123.3334,1148.0,1240.0,1461.8334,road
1183.6,1268.6666,1302.6666,1448.0,1803.5,road
1223.6,1303.0,1323.0,1447.0,1773.0,road
1318.0,1426.0,1505.5,1599.3334,1766.0,road
1318.0,1426.0,1505.5,1599.3334,1766.0,road
1428.6666,1576.0,1638.0,1737.0,1877.6666,road
1532.5,1736.6666,1808.0,1867.5,1877.6666,road
1529.0,1749.0,1850.0,1961.0,1960.5,road
1341.25,1521.3334,1632.0,1733.5,1960.5,road
1155.5,1272.5,1361.0,1468.5,1701.5,road
1214.5,1286.5,1351.6666,1446.0,1802.0,road
1266.5,1370.6666,1418.0,1562.5,1787.5,road
1348.0,1526.4,1548.0,1668.0,1912.4,road
1429.3334,1572.3334,1660.0,1702.0,1870.0,road
1429.3334,1572.3334,1660.0,1702.0,1870.0,road
1517.0,1728.5,1765.0,1806.1666,1791.0,road
1444.5,1638.0,1744.0,1786.0,1795.0,road
1256.0,1428.0,1492.5,1557.0,1542.5,road
1132.6666,1188.0,1219.5,1340.0,1542.5,road
1197.1666,1272.0,1305.3334,1466.0,1771.125,road
1234.6666,1333.0,1382.4,1458.0,1771.125,road
1300.0,1446.0,1497.6,1588.5,1773.0,road
1398.6666,1601.5,1619.0,1698.0,1773.0,road
1481.0,1634.0,1694.0,1717.5,1851.25,road
1440.0,1573.0,1605.0,1688.5,1870.0,road
1440.0,1573.0,1605.0,1688.5,1870.0,road
1302.5,1446.0,1479.5,1595.7,1795.0,road
1132.5,1280.9166,1343.8334,1384.0,1792.0,road
1205.0,1284.0,1298.3334,1401.0,1724.5,road
1286.0,1374.0,1380.8,1480.2,1739.3334,road
1337.0,1446.0,1480.0,1582.0,1739.3334,road
1420.4,1565.25,1634.0,1669.3334,1760.375,road
1516.4,1640.0,1651.5,1730.0,1771.0,road
1381.2,1528.0,1588.0,1634.0,1604.5,road
1381.2,1528.0,1588.0,1634.0,1604.5,road
1238.5,1331.0,1362.5,1480.0,1604.5,road
1096.0,1158.0,1172.0,1288.6666,1414.0,road
1367.0,1449.3334,1495.2,1627.0,1739.3334,road
1404.0,1526.5,1565.0,1646.6666,1739.3334,road
1393.0,1514.5,1584.3334,1634.1666,1760.375,road
1291.0,1401.5,1493.5,1572.5,1749.75,road
1156.25,1273.0,1289.0,1367.5,1604.5,road
1156.25,1273.0,1289.0,1367.5,1604.5,road
1348.0,1478.5,1512.8,1592.0,1687.3334,road
1207.6,1336.0,1376.0,1470.0,1499.5,road
1113.3334,1165.0,1187.0,1282.0,1499.5,road
1176.0,1257.3334,1299.0,1346.5,1687.3334,road
1101.3334,1159.6666,1162.0,1253.2,1477.0,road
1014.0,1170.0,1139.5,2198.6667,2164.0,road
1003.5,1162.0,1138.0,2168.5,2174.5,road
1002.5,1155.0,1115.3334,2217.5,2169.3333,road
986.25,1154.6666,1092.0,2275.0,2169.3333,road
993.0,1154.6666,1110.0,2281.0,2151.2,road
995.0,1155.3334,1114.0,2227.3333,2151.2,road
998.5,1148.0,1132.0,2201.5,2166.5,road
1006.3333,1156.5,1112.0,2234.0,2176.75,road
993.3333,1157.0,1106.0,2215.0,2198.0,road
989.0,1153.5,1126.0,2215.0,2198.0,road
998.4167,1156.0,1155.6,2160.3333,2211.0,road
