BLUE,GREEN,RED,NIR,SWIR,Landcover
4204.0,4419.0,4368.0,4236.5,5530.0,builtup
4242.6665,4417.5,4382.0,4276.0,4987.75,builtup
4073.0,4201.6,4180.0,4114.0,4973.0,builtup
3177.0,3348.0,3399.0,3306.8,4394.5,builtup
3673.0,3841.5,3844.0,3750.0,5287.75,builtup
3815.3333,4012.5,4071.0,3949.0,5287.75,builtup
3815.3333,4012.5,4071.0,3949.0,5287.75,builtup
4103.0,4258.0,4281.6665,4114.4,5679.75,builtup
4189.3335,4379.0,4404.4,4232.0,5679.75,builtup
3706.0,3876.0,3920.0,3852.0,4829.5,builtup
3458.5,3558.0,3598.6667,3510.0,5287.75,builtup
3578.6667,3773.5,3765.0,3706.0,5287.75,builtup
3578.6667,3773.5,3765.0,3706.0,5287.75,builtup
3697.3333,3945.0,3948.0,3867.5,5679.75,builtup
3942.6667,4077.2,4132.0,3978.0,5679.75,builtup
3828.0,4018.0,3954.6667,3908.6667,4829.5,builtup
3530.0,3653.0,3688.0,3624.0,4829.5,builtup
2918.0,3112.0,3091.0,3032.5,4741.5,builtup
2918.0,3112.0,3091.0,3032.5,4741.5,builtup
3668.0,3852.6667,3896.0,3724.6667,4741.5,builtup
3882.0,4146.5,4174.0,4004.0,5570.5,builtup
3984.0,4216.0,4232.8,3979.6667,5584.0,builtup
3850.6667,4078.5,4124.0,3949.2,5388.1665,builtup
3855.0,4081.0,4050.0,3945.0,5372.3335,builtup
3472.0,3727.0,3769.3333,3692.4285,4741.5,builtup
3950.0,4241.0,4170.6665,3982.8,5584.0,builtup
3812.8,4018.0,4009.0,3878.6667,5584.0,builtup
4025.4,4245.0,4327.0,4113.0,5372.3335,builtup
4207.0,4364.0,4416.0,4241.3335,5372.3335,builtup
2620.0,2712.0,2646.6667,2793.0,3274.6667,builtup
3565.0,3720.4,3823.7144,3726.6667,5265.5,builtup
3324.0,3492.0,3544.4,3488.0,5265.5,builtup
4064.0,4232.0,4264.0,4093.25,5463.0835,builtup
4166.6665,4322.0,4366.6665,4205.3335,5474.5,builtup
2614.0,2700.0,2692.0,2735.0,3378.75,builtup
3401.0,3584.0,3600.0,3707.0,4979.3335,builtup
3552.0,3764.0,3724.0,3828.0,4999.6665,builtup
3502.5,3754.0,3826.0,3729.7144,5227.7144,builtup
4135.0,4370.6665,4360.0,4257.6665,5463.0835,builtup
4165.0,4417.0,4360.0,4216.4,5474.5,builtup
2574.0,2692.6667,2694.0,2680.5,3384.5,builtup
3540.0,3653.3333,3724.6667,3763.0,5319.0,builtup
3703.0,3860.6667,3886.0,3882.0,5229.75,builtup
3371.5,3506.6667,3572.5,3642.0,4735.0,builtup
4155.0,4386.0,4361.3335,4124.0,5103.6665,builtup
4239.0,4400.0,4414.0,4256.3335,5103.6665,builtup
2718.0,2781.0,2784.5,2795.0,3537.0,builtup
3806.3333,4017.6667,4014.0,3967.0,5274.375,builtup
3864.6667,4060.0,4017.0,4048.5,5274.375,builtup
3476.0,3601.6,3676.6667,3755.3333,4712.0,builtup
2791.2,2961.0,2992.0,3342.0,4735.0,builtup
3371.3333,3666.4,3614.5,3403.3333,5087.8335,builtup
4037.0,4219.0,4188.0,4097.8335,5103.6665,builtup
2824.6667,2901.3333,2884.0,2976.0,3537.0,builtup
3900.3333,4058.5,4101.25,4042.0,5494.25,builtup
3857.0,4013.3333,4049.0,4054.0,5505.0,builtup
3572.0,3821.0,3892.0,3825.2,5298.5,builtup
3419.0,3522.0,3605.3333,3629.5,5298.5,builtup
3419.0,3522.0,3605.3333,3629.5,5298.5,builtup
3772.5,3927.0,3937.3333,3886.0,4601.25,builtup
2570.0,2636.0,2606.0,2685.0,3332.0,builtup
3963.0,4049.0,4095.0,4049.0,5483.5,builtup
3598.6667,3862.5,3851.0,3826.5,5483.5,builtup
3630.0,3798.5,3889.3333,3780.0,5265.5,builtup
3630.0,3798.5,3889.3333,3780.0,5265.5,builtup
3740.0,3885.0,3920.5,3857.0,5298.5,builtup
2414.0,2454.3333,2542.0,2486.0,3332.0,builtup
3441.0,3672.0,3649.0,3558.8,5243.0,builtup
3584.5,3836.0,3867.0,3760.6667,5243.0,builtup
3503.5,3723.3333,3806.5,3762.0,5310.3335,builtup
3503.5,3723.3333,3806.5,3762.0,5310.3335,builtup
3448.6667,3726.6667,3698.6667,3640.0,5336.6665,builtup
2414.0,2560.3333,2585.2,2531.4285,3045.0,builtup
3019.2,3128.5,3180.0,3100.4,5243.0,builtup
3779.5,3961.0,4028.25,3853.5,5243.0,builtup
3711.0,3903.0,3927.0,3824.0,5310.3335,builtup
3711.0,3903.0,3927.0,3824.0,5310.3335,builtup
3267.5,3432.0,3548.0,3455.4,5310.3335,builtup
3056.6667,3195.5,3237.5,3153.3333,5097.5,builtup
3941.5,4186.0,4201.3335,4070.6,5097.5,builtup
3831.0,4022.6667,4041.0,3988.0,5079.0,builtup
3831.0,4022.6667,4041.0,3988.0,5079.0,builtup
3301.3333,3436.0,3512.0,3526.6667,5079.0,builtup
3502.0,3733.3333,3729.3333,3635.0,5083.0,builtup
4054.0,4330.0,4340.0,4248.0,5112.0,builtup
4054.0,4330.0,4340.0,4248.0,5112.0,builtup
3854.0,4053.0,4044.5,3940.0,5079.0,builtup
3667.3333,3884.4,3953.0,3834.5,5132.6665,builtup
4043.0,4331.0,4272.0,4188.0,5132.6665,builtup
4043.0,4331.0,4272.0,4188.0,5132.6665,builtup
3632.6667,3796.6667,3793.0,3784.0,4393.5,builtup
3667.3333,3884.4,3953.0,3834.5,5132.6665,builtup
3727.3333,4054.0,4044.5,3953.6,5132.6665,builtup
3727.3333,4054.0,4044.5,3953.6,5132.6665,builtup
3490.5,3697.3333,3753.5,3658.4,5132.6665,builtup
3727.3333,4054.0,4044.5,3953.6,5132.6665,builtup
3603.5,3774.0,3872.0,3779.3333,5023.0,builtup
3462.0,3628.0,3626.0,3628.3333,4997.0,builtup
3462.0,3628.0,3626.0,3628.3333,4997.0,builtup
3603.5,3774.0,3872.0,3779.3333,5023.0,builtup
3799.3333,3960.0,3977.6667,3949.0,5023.0,builtup
3799.3333,3960.0,3977.6667,3949.0,5023.0,builtup
1048.0,1058.0,1058.6666,1327.6666,2167.5,builtup
961.3333,983.25,1057.5,1407.0,2153.75,builtup
949.75,1027.0,1098.0,1431.3334,2169.0,builtup
940.5,951.3333,1039.0,1512.0,2128.5,builtup
619.8,715.5,718.0,2038.6666,2128.5,builtup
760.0,886.0,914.0,2089.5,2252.75,builtup
938.0,1011.0,1094.0,1653.0,2252.75,builtup
953.3333,1003.0,1220.5,1496.5,2058.0,builtup
1013.8333,1114.0,1244.5,1545.0,2045.0,builtup
1031.0,1082.0,1126.0,1498.0,2251.0,builtup
1279.5,1373.5,1464.0,1709.5,2251.0,builtup
1082.0,1174.6666,1282.0,1491.0,2282.1667,builtup
818.0,891.0,1005.6667,1278.0,2282.1667,builtup
964.5,928.0,1075.5,1359.0,2345.6667,builtup
1032.4,1046.0,1331.5,1607.0,2338.5833,builtup
1081.3334,1126.0,1388.0,1590.5,2265.0,builtup
1078.0,1155.0,1227.0,1613.0,2254.25,builtup
993.5,1085.2,1168.0,1656.5,2184.0,builtup
856.6667,957.75,1089.75,1741.1666,2176.5,builtup
1005.0,1091.3334,1139.0,1830.8,2200.75,builtup
1181.0,1230.5,1286.6666,1680.5,2207.375,builtup
938.0,1045.6666,980.0,1803.0,2268.5,builtup
803.5,901.5,854.5,1929.0,2295.75,builtup
792.75,918.6667,904.0,1999.5,2360.0,builtup
949.75,997.0,1025.0,1348.0,2119.8333,builtup
925.6667,968.25,1084.0,1386.0,2103.5,builtup
1074.5,1112.0,1148.6666,1497.0,2103.5,builtup
920.0,980.3333,992.25,1525.5,2212.3333,builtup
879.5,912.25,969.6667,1757.5,2212.3333,builtup
1015.0,1111.0,1158.0,2036.0,2309.5,builtup
880.0,917.3333,1078.0,1655.3334,2299.0,builtup
982.4,1005.75,1190.0,1548.5,2130.0,builtup
