BLUE,GREEN,RED,NIR,SWIR,Landcover
358.95,508.33334,332.66666,2414.0,1756.0,trees
377.0,533.0,372.0,2596.0,1764.0,trees
415.0,571.5,396.0,2613.0,1782.8,trees
385.25,528.3333,344.125,2500.0,1774.9,trees
378.5,526.1667,347.5,2594.0,1665.0,trees
358.0,491.0,330.0,2416.0,1665.0,trees
336.0,470.75,308.25,2414.0,1704.5834,trees
390.66666,562.6667,368.0,2833.6667,1832.0,trees
389.0,531.0,380.16666,2877.0,1906.0,trees
379.66666,533.0,366.5,2735.0,1822.25,trees
380.25,552.5,356.14285,2774.0,1817.5,trees
386.0,580.0,347.25,3170.0,1878.1428,trees
366.25,579.3333,352.16666,3036.3333,1878.1428,trees
361.5,521.5,332.33334,2770.0,1732.3334,trees
363.5,492.0,324.0,2582.0,1732.3334,trees
380.0,546.5,348.33334,2510.0,1764.0,trees
403.0,563.6667,373.33334,2564.0,1764.0,trees
412.5,581.5,379.0,2638.5,1774.9,trees
362.0,494.25,334.875,2374.6667,1774.9,trees
341.0,475.0,323.5,2366.0,1665.0,trees
328.0,474.0,306.0,2315.3333,1665.0,trees
325.0,437.0,292.33334,2194.0,1716.6666,trees
385.625,541.6667,375.65,3045.3333,1926.5,trees
389.0,571.0,361.0,3091.3333,1917.0,trees
363.0,520.0,360.0,2934.0,1869.0,trees
366.5,554.5,347.0,3030.0,1869.0,trees
389.0,612.0,384.0,3094.0,1864.4,trees
404.5,596.0,411.2,3012.0,1831.25,trees
388.0,539.0,402.33334,2798.0,1831.25,trees
383.5,550.1667,372.5,2679.0,1883.5,trees
382.6,571.4,379.75,2853.3333,1883.5,trees
389.08334,557.25,373.5,2924.0,1818.5,trees
352.0,493.0,339.66666,2450.0,1818.5,trees
362.0,459.33334,330.75,2371.0,1656.8,trees
357.0,497.0,339.75,2570.0,1656.8,trees
364.0,475.66666,323.2,2440.0,1720.3334,trees
381.66666,538.3333,363.6,3112.0,1926.5,trees
379.5,571.75,362.5,3200.0,1917.0,trees
379.0,561.0,363.33334,3338.0,1956.75,trees
401.0,591.5,396.0,3339.3333,1970.0,trees
401.0,591.5,396.0,3339.3333,1970.0,trees
402.25,603.5,398.0,2984.0,1864.2,trees
428.66666,611.0,438.0,2702.0,1831.25,trees
404.0,562.5,393.0,2880.6667,1883.5,trees
394.33334,594.0,382.75,3116.5,1883.5,trees
399.0,606.0,392.875,3128.0,1818.5,trees
418.75,530.0,397.66666,2568.0,1818.5,trees
383.0,500.33334,362.5,2486.0,1656.8,trees
351.66666,488.5,343.95,2733.1667,1656.8,trees
363.5,521.75,348.0,3189.0,1907.3334,trees
383.25,548.3333,354.2,3241.25,1907.3334,trees
388.0,561.0,370.0,3304.0,1975.25,trees
397.0,575.1667,375.0,3353.375,1991.2,trees
397.0,575.1667,375.0,3353.375,1991.2,trees
395.33334,549.25,369.33334,3051.3333,1943.125,trees
412.33334,606.0,418.0,3292.0,2041.0,trees
420.5,579.5,426.0,3050.5,1919.5,trees
437.75,567.25,439.33334,2651.0,1919.5,trees
413.5,528.6667,410.66666,2472.6667,1762.0,trees
361.0,516.25,323.33334,3146.0,1907.3334,trees
361.5,529.0,331.6,3178.0,1907.3334,trees
385.75,542.0,363.0,3243.3333,1982.875,trees
385.75,542.0,363.0,3243.3333,1982.875,trees
379.75,563.0,372.0,3300.5,1991.2,trees
369.5,554.0,346.5,3295.0,1943.125,trees
347.0,507.33334,339.0,3148.5,1881.3334,trees
388.25,531.0,355.0,3024.0,1925.5,trees
388.25,531.0,355.0,3024.0,1925.5,trees
382.5,550.25,371.5,3013.3333,1941.25,trees
363.0,552.75,363.33334,3196.6667,1991.8,trees
380.5,549.0,353.0,2854.0,1925.5,trees
380.5,549.0,353.0,2854.0,1925.5,trees
395.0,562.5,387.5,2830.0,1956.0,trees
373.25,562.0,372.0,3050.6667,1991.8,trees
379.5,548.0,353.0,3021.0,1926.2,trees
379.5,548.0,353.0,3021.0,1926.2,trees
382.75,558.0,381.0,3002.0,1929.5,trees
380.0,551.5,371.33334,3004.5,2006.625,trees
385.0,557.25,364.0,3202.0,1926.2,trees
381.0,566.0,375.0,3110.0,1929.5,trees
384.5,572.5,392.0,3023.3333,1990.0,trees
381.0,572.25,378.5,3049.0,2006.625,trees
354.0,565.0,375.0,3115.0,2023.0,trees
379.0,601.0,398.75,3003.0,2023.0,trees
386.0,626.5,436.5,2888.0,2009.0,trees
397.5,653.0,431.75,2958.0,2009.0,trees
405.58334,592.0,396.5,3091.0,2037.5714,trees
380.25,556.3333,371.5,3058.6667,2038.625,trees
401.0,585.0,388.5,3179.3333,2011.3334,trees
379.0,599.0,391.0,3117.0,2002.1666,trees
364.5,549.75,380.25,3078.0,1983.5416,trees
369.0,561.0,382.5,3018.0,1983.5416,trees
377.25,620.5,455.0,2928.0,1965.0,trees
399.25,630.0,438.0,2859.0,1971.8334,trees
401.5,602.5,399.25,2864.0,1961.0,trees
385.5,562.5,412.0,2776.0,1961.0,trees
408.0,584.0,424.0,2602.0,1978.0,trees
395.0,576.5,433.66666,2700.0,1978.0,trees
393.25,607.6667,428.0,2881.0,1961.3334,trees
371.75,604.0,413.0,2994.0,1961.3334,trees
362.5,571.0,403.5,3022.0,2021.25,trees
363.0,557.0,397.25,2792.0,2040.0,trees
377.0,556.0,402.66666,3088.0,2052.0,trees
358.16666,538.5,386.0,3034.0,2052.0,trees
