BLUE,GREEN,RED,NIR,SWIR,NDVI,NDBI,REI,BLUE^2,BLUE GREEN,BLUE RED,BLUE NIR,BLUE SWIR,BLUE NDVI,BLUE NDBI,BLUE REI,GREEN^2,GREEN RED,GREEN NIR,GREEN SWIR,GREEN NDVI,GREEN NDBI,GREEN REI,RED^2,RED NIR,RED SWIR,RED NDVI,RED NDBI,RED REI,NIR^2,NIR SWIR,NIR NDVI,NIR NDBI,NIR REI,SWIR^2,SWIR NDVI,SWIR NDBI,SWIR REI,NDVI^2,NDVI NDBI,NDVI REI,NDBI^2,NDBI REI,REI^2,NDVI_bin_non_veg,NDVI_bin_veg,NDVI_dis_encoded
0.3357866219597814,0.3100452034153692,0.3757640105960734,0.2697708087914683,0.3048832441238072,0.06052223226333527,0.7394021151767253,0.033386754498800665,0.14449141710804636,0.13979791364689934,0.15783705570322001,0.1396541928988924,0.1661043891622328,0.24981246935142165,0.5001335485426589,0.16226854448089373,0.13462959553575932,0.15308662755035973,0.12605460939511,0.15551130187443654,0.1877343633292578,0.5167478499278313,0.10227999248830195,0.170398159700425,0.15934736320602666,0.18137524977230252,0.22848380051547412,0.5317076449038972,0.07352828712278701,0.15029123128790045,0.16178929067337128,0.04723134016514523,0.7397321578078456,0.018818680333082486,0.17594011443551322,0.10683588755269781,0.5345484488365473,0.046333632733386705,0.0006842273207506136,0.8538326688071585,0.0032419705237778395,0.2648029247660241,0.6912826580160393,0.0011072085497003728,1,0,0
0.16004425083145796,0.15360788548468107,0.25186037718561693,0.11604375626768032,0.15109378636257853,0.07536748449954597,0.7536214530909169,0.13089916801143892,0.04474418355888544,0.046038048860629684,0.06321502719724795,0.036761087854429664,0.0592408624007314,0.24478267222837502,0.39270646342575577,0.36840298846772274,0.046995491136988365,0.06577727428307635,0.030455465693570036,0.05723982961310518,0.18756625833806254,0.428386437846456,0.25092631029364687,0.08688970325465199,0.06891208132616808,0.08960807937582344,0.23743365950209305,0.46340335874460253,0.20781978666616058,0.053829189660230994,0.060682801224603594,0.04960631263645618,0.7007059252166177,0.054574847158905,0.07305451426288356,0.11265839555403671,0.4859125751320019,0.13678897665051248,0.0017261567482806193,0.8626707687450151,0.007878666914176442,0.2927633513863192,0.7361417616782417,0.017108270351682723,1,0,0
0.19690292678052104,0.1717729784028127,0.1999805275530237,0.041399938909765455,0.04159878985338605,0.06916802749741326,0.6913414030028123,0.024730845534431944,0.06127369853421491,0.05844312220264773,0.0609369817730237,0.03338183609643078,0.04966816962224602,0.24321774638834423,0.3766912113752624,0.0809253350435613,0.0551116763491726,0.058336298952872734,0.021132131171228558,0.041467595430138206,0.18313400870849758,0.4009506984431965,0.05119084389394392,0.05990814676914842,0.037303268266292385,0.0505307329072979,0.21725018113598576,0.3897645722001801,0.03331904932842778,0.01732990585008068,0.014249398162087562,0.044907791360280044,0.6527793084080874,0.008645143184815301,0.017341909667374436,0.10033821551071681,0.41187737785572354,0.020065169892260915,0.0012334496771062085,0.8552707456499292,0.0032360342665285423,0.180683155502254,0.6857150099183159,0.0006060342280203018,1,0,0
0.38075384926205436,0.3598694123556002,0.37430489028113184,0.3460148533143682,0.17095259483360475,0.1330043364300038,0.445020115817723,0.03345423819486404,0.1785261252733702,0.17500804011889648,0.17474882596629784,0.18470366763972493,0.14152643796663728,0.4609073718703376,0.20453814902800566,0.1799086401410813,0.1709676141483463,0.1714612954242874,0.17291728239037668,0.1330446983232189,0.34153839727805857,0.23809529595355905,0.1145447035295342,0.16925832227556478,0.1836258142001705,0.13771925814090083,0.4015813919758382,0.22860368367252598,0.07343756589949586,0.20876807429930813,0.13590315868923042,0.0923585985533921,0.5497128098148438,0.021258928996781293,0.08472188633894037,0.16681682647176405,0.2869565299475276,0.03657498011226503,0.010260284531393748,0.8372908731633838,0.005788765059546178,0.0011388753217066129,0.6760242602565776,0.0011117046567996076,1,0,0
0.019654557119652735,0.028126569563033665,0.023670170755451705,0.5533759973854222,0.10774959273912027,0.9244318033200519,0.11579643520840777,0.8030985719831313,0.0031282632009117864,0.004229741583468736,0.003332421852638279,0.024455102347047578,0.007921814761316065,0.7399127790242614,0.1396477063819564,0.9529615683274503,0.00571103739480049,0.004481461927542701,0.03405890784548646,0.01090869469541876,0.6757476676662597,0.14994360107285948,0.8045998894244994,0.0034370817516367795,0.02558215183065419,0.008867907952577008,0.6202351838855571,0.17134551057058361,0.37393500124635703,0.40347590128590327,0.16468105821962356,0.7310369742972168,0.23417838678243302,0.6662775010170723,0.04925586692506194,0.7859628136419885,0.0961913791952782,0.7613721644773505,0.8494716626649234,0.256300767818595,0.7543093985266937,0.41859119621915764,0.24251493655091322,0.6449307293196752,0,1,2
0.2087977626477394,0.20567553992968363,0.24164653498102584,0.2426440066620691,0.2785470560856411,0.24023968786712616,0.742435993953789,0.12394488445803337,0.06710540613393763,0.0695476441316365,0.07433300076057804,0.07915138834169529,0.10288328733811873,0.5488978232685457,0.4186691328264052,0.4186092468127632,0.07170689643759356,0.0773524078652783,0.0754952553841432,0.10322260487555698,0.4232700196403924,0.4543457092596648,0.28443815720211113,0.08120511748193679,0.09465960256514253,0.11485708250742899,0.5120177302317126,0.4485037980972828,0.19059423200443112,0.1311865395625212,0.14211088625737073,0.13765380596354637,0.733508659172831,0.06649644969611702,0.15627886821516196,0.3057391512953525,0.5271306340911797,0.1643561223574832,0.04513541472010788,0.9489487511625605,0.029087178946072587,0.27065090074863896,0.7308375918014822,0.015337211519879787,1,0,0
0.15596018701438727,0.16917795077850328,0.2005479794435045,0.2777204063126245,0.14116439376309048,0.35209948712794015,0.4820955255464934,0.20879156397058732,0.04305607596901882,0.04825597551867528,0.05138869790100944,0.06348958096675399,0.05612300504043856,0.6454727128653164,0.23534195033467206,0.5771613387263645,0.053919082346856155,0.05787208734274836,0.06767749206711174,0.060498160214610734,0.5266300746100128,0.2689781781911848,0.42343544166134245,0.06017777319658636,0.08455261937290576,0.07017389559308009,0.6299098536361436,0.2590693147846977,0.2787099463661101,0.1560590451209621,0.10411299495571352,0.2042424827055486,0.5751083591811816,0.11888426288756222,0.0674007941776398,0.34957062131412964,0.31103369073460285,0.21349068434736276,0.10784800376966888,0.8520042702648595,0.07198625197362546,0.001246760365313001,0.6831271251593728,0.04355569522496712,1,0,1
0.24657535295564334,0.24221496735308895,0.29210777920608905,0.16265742644347364,0.08540842448219688,0.06549934270201713,0.5508925167689616,0.05236404208941612,0.08723617855557528,0.0896406236465577,0.09910601515180292,0.07556821018451391,0.07320440871646575,0.24609821709803464,0.2934404336958586,0.2002128808617711,0.09170350442311655,0.10220580505395202,0.07016977614798138,0.07056341509867184,0.18790808245042623,0.32628025773913816,0.13438606820520538,0.1110677939786108,0.09433822032163186,0.08613071158149106,0.22685409774413776,0.3206552052518428,0.09369061780647882,0.08005047336592808,0.05455212822366855,0.046981910592843304,0.6088737669984062,0.024185958852523847,0.0378820374782983,0.10032063102374644,0.3476950659975309,0.047272337479781795,0.0009807776689350809,0.8456575246831881,0.0040202701452954305,0.02671825775653856,0.684107100224979,0.002730511796119421,1,0,0
0.23559943144726583,0.22174786539427427,0.24981760874469872,0.15259135148856806,0.08523388410518962,0.1256640824932954,0.5676575615058669,0.057361945009714005,0.08113506221755663,0.08093218825455886,0.08390044190632098,0.06936131175660204,0.06992614336133648,0.3605245675303248,0.3038683363383764,0.2119772729284156,0.08023290763956752,0.08393887397225792,0.06063713864047933,0.0646104283194133,0.2721207814225137,0.3347002077986364,0.13865041372926112,0.0857381723218409,0.07685679737913514,0.07367780396909562,0.32363641646091307,0.32450145016838494,0.09071857584960209,0.07416493963303367,0.05197490995140873,0.07234603845149015,0.6165409242637834,0.02594193130709019,0.03779557048444994,0.14573675745013817,0.3569545075488307,0.0517407864115747,0.008776743505520435,0.8585139024908878,0.007806746745692913,0.03790229959937369,0.6862852301394425,0.003277882141075837,1,0,0
0.24707371084292137,0.2394776494224008,0.3198310651899792,0.22677058077164114,0.2957683732836863,0.09483393357758227,0.7874731504033783,0.07979700580795548,0.08751810217212894,0.08903003652365632,0.10723261483587769,0.09110080722473951,0.12364832176471256,0.30500800555710256,0.4795437714269121,0.30507597024357513,0.09012960298278,0.10960316375680282,0.08525592610274274,0.12188349334281445,0.2321875842884295,0.5106863801784085,0.202898102412311,0.12937198619320295,0.1226326505957546,0.15354174562672782,0.29290793368546064,0.5394046751317445,0.15341733205729088,0.12042128562954049,0.14208757040921013,0.06315558856383868,0.7554856030120125,0.041641881111036394,0.16903991522182024,0.14571531532215992,0.571497345650087,0.10890433384973454,0.0038101093879941996,0.8771838376805975,0.0073550094919180185,0.3649741685043816,0.7172207679328209,0.0063505726851767605,1,0,0
