BLUE,GREEN,RED,NIR,NDVI,Landcover
0.04155,0.0471,0.02285,0.00935,0.06260576,water
0.0412,0.048,0.02505,0.0093,0.07623318,water
0.0418,0.0476,0.0276,0.0097,0.06487697,water
0.0416,0.0471,0.0278,0.01,0.062006768,water
0.0421,0.0493,0.0292,0.0099,0.07877461,water
0.0416,0.0518,0.0305,0.01,0.10920772,water
0.0422,0.0502,0.0302,0.0092,0.0865801,water
0.0415,0.0513,0.028,0.0092,0.10560347,water
0.04095,0.04925,0.02695,0.0089,0.092017725,water
0.0408,0.048,0.02545,0.0083,0.08108107,water
0.04035,0.0462,0.02455,0.0085,0.067590974,water
0.0398,0.0467,0.02425,0.0088,0.0797688,water
0.0391,0.04735,0.0246,0.0085,0.09543091,water
0.04035,0.0471,0.0244,0.0084,0.07718695,water
0.0417,0.0505,0.0247,0.00805,0.09544468,water
0.0418,0.0503,0.02585,0.0084,0.092290975,water
0.0423,0.05045,0.027,0.00845,0.08787062,water
0.0423,0.05045,0.027,0.00845,0.08787062,water
0.0423,0.0514,0.02645,0.0081,0.09711844,water
0.04125,0.05085,0.02665,0.0075,0.10423451,water
0.0427,0.0504,0.0277,0.0075,0.08270677,water
0.03935,0.04785,0.0251,0.00785,0.09747709,water
0.0378,0.04725,0.0254,0.008,0.111111104,water
0.04015,0.0469,0.02515,0.00805,0.07754163,water
0.03865,0.0477,0.02355,0.0079,0.104806036,water
0.0395,0.0476,0.0248,0.0084,0.092996545,water
0.0424,0.05,0.02665,0.0087,0.0822511,water
0.042,0.0504,0.0288,0.0089,0.0909091,water
0.0404,0.0511,0.0283,0.0089,0.11693992,water
0.0433,0.0509,0.0286,0.009,0.080679424,water
0.043,0.0536,0.0289,0.0098,0.109730825,water
0.043,0.0539,0.0285,0.0097,0.11248708,water
0.0442,0.0532,0.029,0.0106,0.092402466,water
0.0433,0.0525,0.0304,0.0107,0.096033394,water
0.0448,0.052,0.0309,0.0108,0.0743802,water
0.0428,0.0512,0.0312,0.012,0.089361675,water
0.0424,0.0514,0.0312,0.012,0.09594883,water
0.0445,0.0506,0.0292,0.0117,0.064142995,water
0.0437,0.0502,0.0293,0.0135,0.0692226,water
0.0432,0.0492,0.0291,0.0131,0.064935036,water
0.0425,0.0493,0.0289,0.0137,0.07407407,water
0.0404,0.0491,0.0296,0.0148,0.097206734,water
0.0433,0.049,0.0293,0.0156,0.061755143,water
0.042,0.0486,0.0296,0.0155,0.07284768,water
0.0432,0.0487,0.0298,0.0158,0.059847657,water
0.04405,0.04905,0.0304,0.0151,0.053705685,water
0.0438,0.05005,0.02975,0.01535,0.066595644,water
0.0449,0.05095,0.03085,0.0162,0.06311944,water
0.0449,0.05095,0.03085,0.0162,0.06311944,water
0.04565,0.0534,0.03135,0.01575,0.078243285,water
0.04675,0.05385,0.03155,0.01595,0.07057651,water
0.0415,0.04795,0.02335,0.01095,0.07210734,water
0.0413,0.0474,0.0226,0.01055,0.06877117,water
0.0433,0.0474,0.02195,0.01005,0.045203995,water
0.0411,0.0469,0.0217,0.0094,0.06590911,water
0.0418,0.0484,0.02315,0.00995,0.07317073,water
0.0422,0.048,0.0246,0.00945,0.064301565,water
0.04225,0.04625,0.0253,0.0093,0.045197748,water
0.0422,0.0466,0.0262,0.00965,0.04954955,water
0.0418,0.0476,0.02675,0.00985,0.06487697,water
0.0419,0.0507,0.02945,0.00925,0.095032394,water
0.04175,0.0532,0.0296,0.0087,0.120589785,water
0.0416,0.05315,0.0296,0.00875,0.12189972,water
0.0413,0.0524,0.0306,0.0091,0.118463196,water
0.0422,0.0512,0.0306,0.0087,0.09635974,water
0.0399,0.0487,0.0285,0.0087,0.099322796,water
0.0405,0.0468,0.0282,0.0089,0.07216493,water
0.0391,0.0477,0.0281,0.0088,0.09907835,water
0.0402,0.0484,0.0281,0.0084,0.09255081,water
0.04185,0.04985,0.026,0.0083,0.08724097,water
0.04195,0.04975,0.02695,0.008,0.08505999,water
0.04225,0.04955,0.0276,0.00845,0.0795207,water
0.04225,0.04955,0.0276,0.00845,0.0795207,water
0.0431,0.0505,0.0271,0.00885,0.07905985,water
0.042,0.0513,0.0266,0.00805,0.099678464,water
0.0395,0.048,0.0245,0.00705,0.09714284,water
0.0383,0.04805,0.02405,0.00755,0.11291257,water
0.0388,0.04765,0.02445,0.00785,0.10237128,water
0.0395,0.04705,0.02385,0.00765,0.08723278,water
0.03895,0.04695,0.0237,0.008,0.093131565,water
0.0393,0.0473,0.02355,0.00825,0.09237877,water
0.03955,0.04715,0.02355,0.0082,0.087658614,water
0.0404,0.0485,0.026,0.0089,0.09111364,water
0.0402,0.0485,0.0296,0.009,0.093573876,water
0.0422,0.0527,0.0288,0.0092,0.11064281,water
0.0428,0.0536,0.0283,0.0092,0.11203316,water
0.043,0.0536,0.0277,0.0099,0.109730825,water
0.0425,0.0529,0.0285,0.0102,0.109014675,water
0.0429,0.0524,0.0309,0.0107,0.09968521,water
0.042,0.0518,0.0303,0.0109,0.10447763,water
0.045,0.0512,0.0312,0.0108,0.06444903,water
0.0431,0.0518,0.0312,0.0114,0.091675475,water
0.044,0.0505,0.0292,0.0118,0.06878309,water
0.0436,0.0497,0.0291,0.012,0.065380484,water
0.0422,0.0492,0.0292,0.0129,0.076586425,water
0.0408,0.0491,0.0283,0.0137,0.09232479,water
0.0419,0.0499,0.0296,0.0145,0.08714594,water
0.0427,0.049,0.0292,0.0149,0.06870227,water
0.0438,0.049,0.0291,0.0139,0.056034468,water
0.0425,0.0491,0.0301,0.014,0.072052404,water
0.04355,0.0492,0.03025,0.01475,0.06091643,water
0.0427,0.04965,0.0308,0.01515,0.07525716,water
0.04505,0.051,0.03025,0.0168,0.061946906,water
0.04505,0.051,0.03025,0.0168,0.061946906,water
0.0462,0.0533,0.0321,0.0166,0.071356796,water
0.04775,0.0538,0.0329,0.01655,0.059576582,water
0.04135,0.0477,0.02345,0.01065,0.071308255,water
0.04065,0.0481,0.0228,0.0105,0.08394366,water
0.04155,0.0472,0.02225,0.00985,0.063662,water
0.0416,0.0457,0.022,0.0096,0.046964474,water
0.04195,0.0477,0.0227,0.0101,0.06413832,water
0.04225,0.0474,0.02265,0.00945,0.057445634,water
0.04175,0.04655,0.0241,0.0098,0.05436013,water
0.0415,0.047,0.02545,0.0097,0.0621469,water
0.04215,0.0462,0.02555,0.00895,0.045840427,water
0.0418,0.05045,0.02855,0.00945,0.09376694,water
0.0411,0.05055,0.02885,0.0088,0.10310966,water
0.0411,0.0504,0.02875,0.0088,0.10163935,water
0.0419,0.0526,0.0289,0.0088,0.113227494,water
0.0414,0.0521,0.0287,0.0087,0.11443848,water
0.0408,0.0487,0.0242,0.0084,0.088268146,water
0.0391,0.0462,0.0253,0.0087,0.08323565,water
0.0394,0.0469,0.0261,0.0083,0.08690614,water
0.0395,0.0477,0.0256,0.008,0.09403666,water
0.04275,0.04725,0.02535,0.00815,0.049999975,water
0.0418,0.04965,0.02715,0.00785,0.08583924,water
0.04225,0.04925,0.02755,0.00845,0.076502725,water
0.04225,0.04925,0.02755,0.00845,0.076502725,water
0.04285,0.0501,0.0272,0.00875,0.07799892,water
0.0402,0.04695,0.0242,0.0081,0.0774527,water
0.0392,0.0474,0.0234,0.00705,0.09468823,water
0.0397,0.04825,0.02335,0.00745,0.09721431,water
0.04095,0.0481,0.0236,0.00755,0.08029196,water
0.0399,0.0475,0.02385,0.00745,0.0869565,water
0.04055,0.047,0.0238,0.00775,0.07367216,water
0.03995,0.048,0.02385,0.008,0.0915293,water
0.0402,0.0492,0.0251,0.0085,0.10067114,water
0.0415,0.0498,0.0288,0.00885,0.09090912,water
0.0409,0.0531,0.0296,0.0089,0.12978725,water
0.0424,0.0536,0.0292,0.0091,0.11666666,water
0.0435,0.0529,0.0285,0.0092,0.0975104,water
0.043,0.0536,0.0277,0.0099,0.109730825,water
0.042,0.0529,0.0281,0.0108,0.11485777,water
0.0426,0.0523,0.0295,0.0107,0.10221286,water
0.0426,0.0516,0.0304,0.0116,0.09554144,water
0.0444,0.0512,0.0312,0.0114,0.07112971,water
0.043,0.051,0.0312,0.0118,0.08510636,water
0.0444,0.0505,0.0312,0.0125,0.064278215,water
0.043,0.0513,0.03,0.013,0.08801696,water
0.043,0.0513,0.0304,0.0136,0.08801696,water
0.0426,0.0503,0.0291,0.0137,0.082884826,water
0.0417,0.0501,0.029,0.0132,0.09150323,water
0.0412,0.0494,0.0287,0.0131,0.09050774,water
0.0411,0.05,0.0295,0.0131,0.09769486,water
0.0427,0.0498,0.0304,0.0138,0.07675677,water
0.0437,0.04905,0.03035,0.0139,0.057681955,water
0.0428,0.04925,0.0311,0.01495,0.07007059,water
0.0428,0.04925,0.0311,0.01495,0.07007059,water
0.04425,0.0518,0.03095,0.0175,0.07860491,water
0.0464,0.0532,0.03065,0.0172,0.06827309,water
0.04615,0.05385,0.03295,0.0171,0.07700001,water
0.0403,0.0466,0.02305,0.01035,0.07249711,water
0.04015,0.047,0.02255,0.01025,0.07860008,water
