BLUE,GREEN,RED,NIR,SWIR,NDVI,NDBI,REI
1640.5,1671.6,1837.5,1918.3334,2692.8333,0.021522094137615366,0.16796180888450635,8.823064990660919e-05
952.0,1048.6666,1328.0,1422.0,2032.0,0.03418181818181818,0.17660683265778807,0.00034682097986519735
1096.4,1121.0,1114.6666,1181.0,1561.5,0.02889504948148829,0.13874202370100275,6.527629697289266e-05
1816.6666,1870.0,1831.5,2164.5,2117.3333,0.08333333333333333,-0.011015538601187537,8.840960795516157e-05
402.0,549.0,389.66666,2834.0,1845.75,0.758246307017364,-0.2111758106736471,0.0021294070056790022
1143.0,1256.0,1286.0,1830.75,2579.6667,0.17478142295660543,0.169806335986348,0.00032837911780967907
936.0,1110.6666,1117.0,1944.0,1989.3334,0.2701731460307089,0.011525440482619649,0.0005533815565832642
1291.0,1401.5,1493.5,1572.5,1749.75,0.025766470971950423,0.05335239671909098,0.00013855596627405042
1248.0,1320.0,1319.6,1540.0,1749.0,0.07707371660372084,0.06354515050167224,0.00015180975949590842
1292.9524,1390.6,1607.5,1779.5,2653.6667,0.05078240330676115,0.19718787024182968,0.00021130464394676182
1410.0,1548.0,1586.0,1736.0,1925.0,0.04515352197471403,0.05162523900573614,0.0001330886027166405
1093.3334,1112.3334,1272.0,1523.0,2435.0,0.08980322003577818,0.23041940373926226,0.0002577994802557912
1543.3334,1643.3334,1676.0,1734.6666,1803.6666,0.017200919022691934,0.019500707282174557,7.142220506480792e-05
3462.0,3628.0,3626.0,3628.3333,4997.0,0.0003216422383018686,0.15867986226109085,1.3237913459957196e-05
1111.3334,1155.0,1175.2,1238.0,1453.5,0.026023537212000646,0.08006687720601895,9.198277142923055e-05
747.5,1098.0,957.0,3309.3333,2751.25,0.5513711973698819,-0.09208409032180116,0.0010342333844982966
998.5,1148.0,1132.0,2201.5,2166.5,0.3208339583020849,-0.008012820512820512,0.0005467189647515104
911.3,1224.5,1156.0,2855.5,2958.1428,0.42365698616477626,0.017655505081942784,0.0007463131594429815
1906.6666,1926.0,1932.5,2137.0,2087.0,0.050251873694557074,-0.011837121212121212,5.650019154852108e-05
741.0,1056.0,878.3,3395.25,2977.75,0.5889599981280199,-0.06551074847010827,0.0010535767128287477
361.0,584.0,364.2,3640.0,2040.5,0.8180910044453324,-0.281577325939618,0.002488464574099933
684.0,1011.25,807.0,3246.0,2681.0,0.6017764618800888,-0.09532647207693605,0.0011522322813929328
736.5,1074.4,940.5,3245.0,2704.5,0.5505913272010512,-0.09084797041768215,0.0010481836462876393
1278.0,1385.2,1637.0,1826.0,2759.3333,0.05457695639618828,0.20354753710051998,0.00023464388508615455
714.875,1049.0,870.0,3263.0,2672.5,0.5789983063150254,-0.09948614270069918,0.0010908535740585226
611.6667,694.5,1682.0,2054.0,2647.0,0.09957173447537473,0.1261433737502659,0.0011461485656006766
1480.0,1559.3334,1733.3334,1862.0,2613.0,0.03578711226057645,0.16782122905027932,0.00013852514956727208
1493.0,1402.0,1339.75,1672.4,2041.6666,0.11043606726092661,0.0994237960083968,7.180119665459257e-05
361.0,549.5,345.66666,3008.0,1916.5,0.7938574730024004,-0.2216468677023048,0.002430902492065358
1599.0,1615.0,1766.0,1880.0,2600.5,0.031267142073505214,0.1608079455417922,9.341755319148936e-05
966.0,1015.6667,1069.5,1117.6666,1566.0,0.022022373604278712,0.1670600215391882,0.00014033021938089505
948.0,1098.0,1034.0,1812.0,1975.8334,0.2733661278988053,0.043252535869185794,0.000502445934723899
707.5,1030.0,906.75,3391.0,3152.6667,0.5780350183235414,-0.03642198035544809,0.001116950573012085
1253.0,1345.5,1545.5,1861.25,2392.75,0.09268364276803405,0.12494123178185237,0.00026060327569641485
1401.6,1398.0,1540.5,1778.0,2600.5,0.07156847973481995,0.18784972022382093,0.00015093293717580901
730.0,1094.0,930.0,3184.5,2953.0,0.5479402114473204,-0.037718940936863544,0.0010543975940232044
